host	logname	time	method	url	response	bytes	referer	useragent
pppa006.compuserve.com	-	807256800	GET	/images/launch-logo.gif	200	1713		
vcc7.langara.bc.ca	-	807256804	GET	/shuttle/missions/missions.html	200	8677		
pppa006.compuserve.com	-	807256806	GET	/history/apollo/images/apollo-logo1.gif	200	1173		
thing1.cchem.berkeley.edu	-	807256870	GET	/shuttle/missions/sts-70/sts-70-day-03-highlights.html	200	4705		
202.236.34.35	-	807256881	GET	/whats-new.html	200	18936		
bettong.client.uq.oz.au	-	807256884	GET	/history/skylab/skylab.html	200	1687		
202.236.34.35	-	807256884	GET	/images/whatsnew.gif	200	651		
202.236.34.35	-	807256885	GET	/images/KSC-logosmall.gif	200	1204		
bettong.client.uq.oz.au	-	807256900	GET	/history/skylab/skylab.html	304	0		
bettong.client.uq.oz.au	-	807256913	GET	/images/ksclogosmall.gif	304	0		
bettong.client.uq.oz.au	-	807256913	GET	/history/apollo/images/apollo-logo.gif	200	3047		
hella.stm.it	-	807256914	GET	/shuttle/missions/sts-70/images/DSC-95EC-0001.jpg	200	513911		
mtv-pm0-ip4.halcyon.com	-	807256916	GET	/shuttle/countdown/	200	4324		
ednet1.osl.or.gov	-	807256924	GET	/	200	7280		
mtv-pm0-ip4.halcyon.com	-	807256942	GET	/shuttle/countdown/count70.gif	200	46573		
dd10-046.compuserve.com	-	807256943	GET	/shuttle/missions/sts-69/mission-sts-69.html	200	10566		
ad11-013.compuserve.com	-	807256944	GET	/history/history.html	200	1602		
dd10-046.compuserve.com	-	807256946	GET	/shuttle/missions/sts-69/sts-69-patch-small.gif	200	8083		
dd10-046.compuserve.com	-	807256954	GET	/images/KSC-logosmall.gif	200	1204		
dd10-046.compuserve.com	-	807256954	GET	/history/apollo/images/apollo-logo1.gif	200	1173		
bettong.client.uq.oz.au	-	807256966	GET	/history/skylab/skylab-small.gif	200	9202		
bettong.client.uq.oz.au	-	807256966	GET	/history/skylab/skylab-4.html	200	1165		
ncg-72.axionet.com	-	807256992	GET	/shuttle/missions/sts-71/movies/movies.html	200	3381		
osc_pc3.79.242.202.in-addr.arpa	-	807256993	GET	/shuttle/missions/sts-71/images/images.html	200	8529		
mtv-pm0-ip4.halcyon.com	-	807256997	GET	/htbin/cdt_main.pl	200	3714		
ncg-72.axionet.com	-	807256999	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
mac19.ils.uec.ac.jp	-	807257002	GET	/	200	7280		
mac19.ils.uec.ac.jp	-	807257005	GET	/images/ksclogo-medium.gif	200	5866		
osc_pc3.79.242.202.in-addr.arpa	-	807257006	GET	/shuttle/missions/sts-71/images/KSC-95EC-0423.gif	200	64939		
mac19.ils.uec.ac.jp	-	807257008	GET	/images/MOSAIC-logosmall.gif	200	363		
mac19.ils.uec.ac.jp	-	807257013	GET	/images/USA-logosmall.gif	200	234		
osc_pc3.79.242.202.in-addr.arpa	-	807257016	GET	/shuttle/missions/sts-71/images/KSC-95EC-0423.txt	200	1224		
mtv-pm0-ip4.halcyon.com	-	807257017	GET	/shuttle/countdown/images/countclock.gif	200	13994		
mac19.ils.uec.ac.jp	-	807257017	GET	/images/NASA-logosmall.gif	200	786		
mac19.ils.uec.ac.jp	-	807257019	GET	/images/WORLD-logosmall.gif	200	669
